Added 269 to h, from 808, with h[269] = 30
Added 538 to h, from 269, with h[538] = 31
Added 1076 to h, from 538, with h[1076] = 32
Added 179 to h, from 538, with h[179] = 32
Added 358 to h, from 179, with h[358] = 33
Added 716 to h, from 358, with h[716] = 34
Added 119 to h, from 358, with h[119] = 34
Added 238 to h, from 119, with h[238] = 35
Added 476 to h, from 238, with h[476] = 36
Added 79 to h, from 238, with h[79] = 36
Added 158 to h, from 79, with h[158] = 37
Added 316 to h, from 158, with h[316] = 38
Added 632 to h, from 316, with h[632] = 39
Added 105 to h, from 316, with h[105] = 39
Added 210 to h, from 105, with h[210] = 40
Added 420 to h, from 210, with h[420] = 41
Added 840 to h, from 420, with h[840] = 42
Added 952 to h, from 476, with h[952] = 37
Added 1264 to h, from 632, with h[1264] = 40
Added 1432 to h, from 716, with h[1432] = 35
Added 1632 to h, from 816, with h[1632] = 30
Added 1640 to h, from 820, with h[1640] = 30
Added 273 to h, from 820, with h[273] = 30
Added 546 to h, from 273, with h[546] = 31
Added 1092 to h, from 546, with h[1092] = 32
Added 1664 to h, from 832, with h[1664] = 17
Added 277 to h, from 832, with h[277] = 17
Added 554 to h, from 277, with h[554] = 18
Added 1108 to h, from 554, with h[1108] = 19
Added 1672 to h, from 836, with h[1672] = 43
Added 1680 to h, from 840, with h[1680] = 43
Added 1696 to h, from 848, with h[1696] = 17
Added 1704 to h, from 852, with h[1704] = 17
Added 1736 to h, from 868, with h[1736] = 30
Added 289 to h, from 868, with h[289] = 30
Added 578 to h, from 289, with h[578] = 31
Added 1156 to h, from 578, with h[1156] = 32
Added 1792 to h, from 896, with h[1792] = 25
Added 1808 to h, from 904, with h[1808] = 17
Added 301 to h, from 904, with h[301] = 17
Added 602 to h, from 301, with h[602] = 18
Added 1204 to h, from 602, with h[1204] = 19
Added 1824 to h, from 912, with h[1824] = 38
Added 1832 to h, from 916, with h[1832] = 38
Added 305 to h, from 916, with h[305] = 38
Added 610 to h, from 305, with h[610] = 39
Added 1220 to h, from 610, with h[1220] = 40
Added 203 to h, from 610, with h[203] = 40
Added 406 to h, from 203, with h[406] = 41
Added 812 to h, from 406, with h[812] = 42
Added 135 to h, from 406, with h[135] = 42
Added 270 to h, from 135, with h[270] = 43
Added 540 to h, from 270, with h[540] = 44
Added 1080 to h, from 540, with h[1080] = 45
Added 1624 to h, from 812, with h[1624] = 43
Added 1840 to h, from 920, with h[1840] = 38
Added 1856 to h, from 928, with h[1856] = 25
Added 309 to h, from 928, with h[309] = 25
Added 618 to h, from 309, with h[618] = 26
Added 1236 to h, from 618, with h[1236] = 27
Added 1872 to h, from 936, with h[1872] = 25
Added 1888 to h, from 944, with h[1888] = 38
Added 1896 to h, from 948, with h[1896] = 38
Added 1904 to h, from 952, with h[1904] = 38
Added 317 to h, from 952, with h[317] = 38
Added 634 to h, from 317, with h[634] = 39
Added 1268 to h, from 634, with h[1268] = 40
Added 211 to h, from 634, with h[211] = 40
Added 422 to h, from 211, with h[422] = 41
Added 844 to h, from 422, with h[844] = 42
Added 1688 to h, from 844, with h[1688] = 43
Added 281 to h, from 844, with h[281] = 43
Added 562 to h, from 281, with h[562] = 44
Added 1124 to h, from 562, with h[1124] = 45
Added 187 to h, from 562, with h[187] = 45
Added 374 to h, from 187, with h[374] = 46
Added 748 to h, from 374, with h[748] = 47
Added 1496 to h, from 748, with h[1496] = 48
Added 249 to h, from 748, with h[249] = 48
Added 498 to h, from 249, with h[498] = 49
Added 996 to h, from 498, with h[996] = 50
Added 1920 to h, from 960, with h[1920] = 25
Added 1928 to h, from 964, with h[1928] = 25
Added 321 to h, from 964, with h[321] = 25
Added 642 to h, from 321, with h[642] = 26
Added 1284 to h, from 642, with h[1284] = 27
Added 1952 to h, from 976, with h[1952] = 25
Added 325 to h, from 976, with h[325] = 25
Added 650 to h, from 325, with h[650] = 26
Added 1300 to h, from 650, with h[1300] = 27
Added 1960 to h, from 980, with h[1960] = 25
Added 1968 to h, from 984, with h[1968] = 51
Added 1992 to h, from 996, with h[1992] = 51
Added 2048 to h, from 1024, with h[2048] = 12
Added 341 to h, from 1024, with h[341] = 12
Added 682 to h, from 341, with h[682] = 13
Added 1364 to h, from 682, with h[1364] = 14
Added 227 to h, from 682, with h[227] = 14
Added 454 to h, from 227, with h[454] = 15
Added 908 to h, from 454, with h[908] = 16
Added 151 to h, from 454, with h[151] = 16
Added 302 to h, from 151, with h[302] = 17
Added 604 to h, from 302, with h[604] = 18
Added 1208 to h, from 604, with h[1208] = 19
Added 201 to h, from 604, with h[201] = 19
Added 402 to h, from 201, with h[402] = 20
Added 804 to h, from 402, with h[804] = 21
Added 1608 to h, from 804, with h[1608] = 22
Added 1816 to h, from 908, with h[1816] = 17
Added 2080 to h, from 1040, with h[2080] = 33
